result.victory,스테이지 클리어,STAGE CLEAR
result.defeat,패배,DEFEAT
result.defeat.hp,체력이 다했다,YOU RAN OUT OF HEALTH
result.defeat.turns,턴이 다했다,YOU RAN OUT OF MOVES
result.restart,다시 시작,RESTART
result.map,지도,MAP
ending.skip,아무 곳이나 눌러 넘기기,TAP TO SKIP
common.yes,예,YES
common.no,아니오,NO
common.back,뒤로,BACK
language.Korean,한국어,Korean
language.English,English,English
intermission.title,보스 돌입 준비,BOSS INCOMING
intermission.points,남은 포인트 {0}점 — 지금 분배하세요,{0} POINT(S) TO SPEND
intermission.nopoints,준비되면 시작하세요,READY WHEN YOU ARE
intermission.fight,전투 시작,FIGHT
puzzle.banner.intermission,보스 돌입 준비,BOSS INCOMING
intermission.warning,위에서 보스가 다가오고 있습니다!\n필요한 능력치를 올리세요,THE BOSS IS CLOSING IN!\nSpend your points now
intermission.npc.saint,성녀,SAINT
intermission.npc.blacksmith,대장장이,BLACKSMITH
character.select.title,캐릭터 선택,CHOOSE YOUR CHARACTER
character.select.confirm,이 캐릭터로 시작,START AS THIS ONE
character.knight,기사,KNIGHT
character.knight.desc,체력과 방어가 조금 더 높다. 성녀가 곁을 지킨다.,A little more health and defense. A saint watches over them.
character.sekiro,낭인,WANDERER
character.sekiro.desc,공격과 패링 판정이 조금 더 넓다. 무녀가 곁을 지킨다.,A little more attack and a wider parry. A shrine maiden watches over them.
boss.irithyll.01,설리번의 짐승,Sulyvahn's Beast
boss.irithyll.02,법왕 설리번,Pontiff Sulyvahn
boss.ashina.01,목없는 사자원숭이,Headless Ape
boss.ashina.02,아시나 겐이치로,Genichiro Ashina
pause.title,일시정지,PAUSED
pause.resume,계속하기,RESUME
pause.quit,지도로 나가기,QUIT TO MAP
pause.quit.confirm,지도로 나갈까요?\n진행 중인 판은 사라집니다.,Quit to map?\nThis run will be lost.
boss.phase.transition,그러나 아직 쓰러지지 않았다,BUT IT IS NOT OVER
combat.popup.memoryguard,기억이 막았다,MEMORY SHIELDED
result.memory.gained,새 기억 — {0},NEW MEMORY — {0}
memory.edge.name,짐승의 기억,MEMORY OF THE BEAST
memory.edge.desc,패링이 체간을 더 깎는다,Parries break posture faster
memory.ward.name,칼날의 기억,MEMORY OF THE SWORD
memory.ward.desc,연속 패링 3회마다 다음 피격을 한 번 무효로 만든다,Every 3 parries in a row nullify the next hit
status.title,현재 상태,STATUS
status.hp,최대 체력 {0},MAX HP {0}
status.chain,사슬 {0}연속,CHAIN {0} IN A ROW
status.memories,삼킨 기억 {0},MEMORIES {0}
status.memories.none,아직 삼킨 기억이 없다,NO MEMORIES YET
pause.quit.title,타이틀로 나가기,QUIT TO TITLE
pause.quit.title.confirm,타이틀로 나갈까요?,Quit to title?
status.newgameplus,{0}회차,NG+{0}
tutorial.card.next,다음,NEXT
tutorial.card.start,시작,BEGIN
tutorial.card.page,{0} / {1},{0} / {1}
tutorial.skip,건너뛰기,SKIP
tutorial.basic.match.title,처치,MATCH THREE
tutorial.basic.match.body,같은 몬스터 3개를 나란히 맞추면 처치하고 소울을 얻습니다.\n소울은 레벨이 되고 레벨은 힘이 됩니다.,Match three of the same monster to slay them and earn souls.\nSouls become levels. Levels become strength.
tutorial.basic.enrage.title,성난 몬스터,ENRAGED
tutorial.basic.enrage.body,붉게 물든 놈은 머리 위 숫자가 0이 되면 당신을 때립니다.\n그 전에 매치해서 없애 주세요.,A monster glowing red will strike you when its counter reaches zero.\nMatch it away before then.
tutorial.basic.boss.title,보스 난입,THE BOSS DESCENDS
tutorial.basic.boss.body,떨어지는 보스 타일이 바닥에 닿으면 싸움이 시작됩니다.\n퍼즐에서 잃은 체력은 그대로 이어집니다.,When the falling boss tile reaches the bottom the fight begins.\nWhatever health the puzzle cost you carries over.
tutorial.gimmick.chain.title,사슬 결박,CHAINED
tutorial.gimmick.chain.body,사슬에 묶인 타일은 움직이지도 사라지지도 않습니다.\n매치에 걸리면 사슬만 풀립니다.,A chained tile will not move and will not clear.\nMatch it and only the chain breaks.
tutorial.gimmick.bomb.title,시한폭탄,TICKING DEATH
tutorial.gimmick.bomb.body,폭탄은 직접 맞출 수 없습니다.\n바로 옆에서 매치를 만들어 해체해 주세요. 숫자가 0이 되면 터집니다.,A bomb cannot be matched directly.\nMake a match right beside it to defuse. At zero it detonates.
tutorial.gimmick.corruption.title,전염,CORRUPTION
tutorial.gimmick.corruption.body,부패는 매 턴 옆 몬스터로 번집니다.\n바로 옆에서 매치를 만들어 태워 주세요.,Corruption spreads to a neighbouring monster every turn.\nMake a match beside it to burn it away.
tutorial.climb.why.title,사슬,THE CHAIN
tutorial.climb.why.body,당신은 사슬의 맨 아래에 있습니다.\n고리를 하나씩 끊으며 위로 오르는 것입니다. 끝에 무엇이 있는지는 아무도 돌아와 말해 주지 않았습니다.,You stand at the bottom of the chain.\nYou climb by breaking its links one by one. No one has come back to say what waits at the top.
tutorial.climb.match.title,처치,STRIKE
tutorial.climb.match.body,빛나는 두 칸을 서로 바꿔 주세요.\n같은 몬스터 3개가 나란히 서면 베고 소울을 얻습니다.,Swap the two lit tiles.\nThree of the same monster in a row are slain — and they leave souls.
tutorial.climb.enrage.title,성난 몬스터,ENRAGED
tutorial.climb.enrage.body,붉게 물든 놈이 있습니다. 머리 위 숫자가 0이 되면 당신을 때립니다.\n그 전에 매치로 없애면 그 공격은 없던 일이 됩니다.,One of them has turned red. When its counter reaches zero it strikes you.\nMatch it away before then and the blow never lands.
tutorial.climb.boss.title,내려오는 것,IT DESCENDS
tutorial.climb.boss.body,보스 타일이 바닥에 닿으면 싸움이 시작됩니다.\n퍼즐에서 잃은 체력은 돌아오지 않습니다 — 준비는 여기까지입니다.,When the boss tile reaches the bottom the fight begins.\nWhat the puzzle took from you is not given back. Preparation ends here.
tutorial.climb.parry.title,패링,PARRY
tutorial.climb.parry.body,흰 원이 다가옵니다. 회색 띠에 겹치는 순간 왼쪽을 눌러 주세요.\n막을 때마다 보스의 체간이 무너집니다.,A white ring closes in. Press left the moment it overlaps the grey band.\nEvery parry breaks the boss's posture a little further.
tutorial.climb.whiff.title,헛침,YOU MISSED
tutorial.climb.whiff.body,빗나갔습니다. 잠시 손이 굳고 보스는 체간을 되찾습니다.\n마구 누르지 마세요 — 기다리는 것이 실력입니다.,The strike went wide. Your hand locks up and the boss recovers its posture.\nDo not mash. Waiting is the skill.
tutorial.climb.execute.title,인살,DEATHBLOW
tutorial.climb.execute.body,보스의 체간이 무너졌습니다.\n지금 오른쪽을 눌러 끝내 주세요.,The boss's posture has shattered.\nPress right now and end it.
tutorial.climb.chain.title,끊어진 사슬,THE BROKEN CHAIN
tutorial.climb.chain.body,죽어도 당신이 얻은 힘은 남습니다. 끊기는 것은 사슬뿐입니다.\n다시 아래에서 시작하되 전보다 강한 채로 오르게 됩니다.,Death does not take the strength you earned. Only the chain breaks.\nYou begin again at the bottom — but you climb it stronger.
